iter	RMSE
0	0.1386190569
1	0.1350492076
2	0.131623606
3	0.1282876612
4	0.1250511209
5	0.1219130125
6	0.1188700403
7	0.1159468293
8	0.1131240451
9	0.1104318413
10	0.1077893657
11	0.1052494102
12	0.1028069406
13	0.1004512263
14	0.09815395505
15	0.09590606291
16	0.09375903549
17	0.09171526574
18	0.08972730716
19	0.08782659808
20	0.08600370808
21	0.08421656892
22	0.0824445194
23	0.08075911883
24	0.07911618974
25	0.07757984138
26	0.07609033237
27	0.07465197313
28	0.07325049904
29	0.0718719948
30	0.07060371051
31	0.06937970352
32	0.06820400011
33	0.06703536316
34	0.06595872838
35	0.06492068152
36	0.06390233651
37	0.06290876057
38	0.06197763554
39	0.06109403325
40	0.06019273454
41	0.05930693779
42	0.05846128811
43	0.05764609188
44	0.05687472801
45	0.05615007056
46	0.05545280295
47	0.05478886799
48	0.05414160083
49	0.0535153407
50	0.05292407268
51	0.05237991219
52	0.05184498921
53	0.05133820609
54	0.05081980641
55	0.05033042659
56	0.0498696852
57	0.04941301715
58	0.04898082865
59	0.04857766187
60	0.04817394513
61	0.04779943208
62	0.04746843673
63	0.04711290967
64	0.04679651785
65	0.04646672358
66	0.04615656751
67	0.04586152861
68	0.04555990078
69	0.0452830917
70	0.04501827812
71	0.04475831279
72	0.04446484717
73	0.04423282896
74	0.04401302851
75	0.04378661682
76	0.04357011441
77	0.04338339753
78	0.04318108935
79	0.04297210812
80	0.04279465624
81	0.04261407477
82	0.04243325216
83	0.0422424362
84	0.04207719319
85	0.04189705993
86	0.04173829836
87	0.04158880898
88	0.04145327015
89	0.04133147328
90	0.04118424008
91	0.04102315604
92	0.04089129611
93	0.04077770835
94	0.04064015155
95	0.04049907838
96	0.04036735662
97	0.0401954274
98	0.04006088368
99	0.03988383706
100	0.03972063021
101	0.03957559322
102	0.03942057359
103	0.03926047222
104	0.03912614031
105	0.03899334244
106	0.038864425
107	0.03874092443
108	0.03861452532
109	0.03849583818
110	0.03839062487
111	0.03828464295
112	0.03817620516
113	0.03808465246
114	0.03799861486
115	0.03792455085
116	0.03783837747
117	0.03777532613
118	0.03768458215
119	0.03761062642
120	0.03755776316
121	0.03749937351
122	0.03743335719
123	0.03736155436
124	0.03728453102
125	0.03723846161
126	0.03717781349
127	0.03712028392
128	0.037050498
129	0.03699123799
130	0.03693778502
131	0.03687299011
132	0.03683689889
133	0.03677991494
134	0.03673048037
135	0.03668385936
136	0.03663991643
137	0.03659435204
138	0.03654126941
139	0.03648092839
140	0.03643443526
141	0.03639721956
142	0.03634301741
143	0.03629978913
144	0.0362707238
145	0.03624190653
